id_evento,nome,tipo,bairro,latitude,longitude,data,dia_semana,horario,preco_ingresso,publico_estimado,gratuito,plataforma
EVT0001,Eletrônico — Rock no Porto,Eletrônico,Boa Vista,-8.062,-34.882958,2025-05-11,Domingo,20:00,50,208,False,Instagram
EVT0002,Happy Hour — DJ Spinheiro,Happy Hour,Várzea,-8.050542,-34.942226,2024-05-27,Segunda,21:00,15,419,False,Sympla
EVT0003,Festa Junina — Jazz Recife,Festa Junina,Boa Viagem,-8.120741,-34.903749,2025-02-26,Quarta,21:00,80,475,False,Sympla
EVT0004,Sertanejo — Coletivo Urbano,Sertanejo,Ilha do Leite,-8.058743,-34.887621,2024-04-14,Domingo,19:00,0,97,True,Eventbrite
EVT0005,Show Musical — Rock no Porto,Show Musical,Iputinga,-8.066881,-34.929093,2024-06-08,Sábado,19:00,80,1281,True,Eventbrite
EVT0006,Sertanejo — Stand-up Nordeste,Sertanejo,Santo Amaro,-8.071014,-34.89221,2024-09-12,Quinta,22:00,30,391,False,Sympla
EVT0007,Teatro — DJ Boa Viagem,Teatro,Várzea,-8.045632,-34.942685,2024-03-15,Sexta,22:00,50,1377,False,Sympla
EVT0008,Happy Hour — Maracatu Nação,Happy Hour,Santo Amaro,-8.065617,-34.892641,2024-05-24,Sexta,22:00,50,1352,False,Sympla
EVT0009,Forró — Axé Power,Forró,Iputinga,-8.057565,-34.929231,2025-01-25,Sábado,20:00,60,1082,True,Instagram
EVT0010,Carnaval Fora de Época — Eletrônica PE,Carnaval Fora de Época,Madalena,-8.058367,-34.913036,2024-01-23,Terça,20:00,80,272,True,Eventbrite
EVT0011,Exposição — Grupo Mangue Beat,Exposição,Cordeiro,-8.06351,-34.925716,2024-09-14,Sábado,23:00,80,1931,True,Eventbrite
EVT0012,Festa — Stand-up Nordeste,Festa,Aflitos,-8.046937,-34.895688,2024-07-28,Domingo,19:00,50,270,False,Direto
EVT0013,Happy Hour — DJ Spinheiro,Happy Hour,Derby,-8.06159,-34.899183,2024-11-16,Sábado,21:00,30,1258,True,Instagram
EVT0014,Open Bar — Grupo Mangue Beat,Open Bar,Casa Forte,-8.030676,-34.907672,2025-05-15,Quinta,19:00,0,354,False,Sympla
EVT0015,Exposição — DJ Boa Viagem,Exposição,Torre,-8.06807,-34.906055,2024-05-30,Quinta,20:00,20,250,True,Sympla
EVT0016,Pagode — Coral do Recife,Pagode,Várzea,-8.050028,-34.939002,2024-11-08,Sexta,20:00,80,1549,False,Instagram
EVT0017,Open Bar — Coletivo Urbano,Open Bar,Boa Viagem,-8.117569,-34.904104,2024-05-10,Sexta,22:00,50,1102,False,Instagram
EVT0018,Eletrônico — Coletivo Urbano,Eletrônico,Ilha do Leite,-8.061609,-34.891384,2024-12-19,Quinta,22:00,15,462,True,Instagram
EVT0019,Pagode — Coletivo Urbano,Pagode,Torre,-8.070737,-34.90104,2024-10-19,Sábado,22:00,40,755,True,Sympla
EVT0020,Pagode — Maracatu Nação,Pagode,Recife Antigo,-8.058806,-34.866265,2025-03-18,Terça,20:00,50,411,True,Eventbrite
EVT0021,Festa Junina — DJ Boa Viagem,Festa Junina,Ilha do Leite,-8.056461,-34.885159,2024-11-13,Quarta,19:00,40,416,False,Sympla
EVT0022,Carnaval Fora de Época — Trio Nordestino,Carnaval Fora de Época,Torre,-8.060084,-34.907079,2024-10-23,Quarta,22:00,20,97,True,Eventbrite
EVT0023,Exposição — Stand-up Nordeste,Exposição,Iputinga,-8.058034,-34.937916,2025-02-06,Quinta,22:00,40,301,False,Sympla
EVT0024,Festival — Coral do Recife,Festival,Boa Vista,-8.055678,-34.882309,2024-08-27,Terça,22:00,100,416,False,Sympla
EVT0025,Show Musical — Grupo Mangue Beat,Show Musical,Várzea,-8.050543,-34.937926,2025-02-08,Sábado,21:00,60,691,False,Sympla
EVT0026,Eletrônico — Axé Power,Eletrônico,Pina,-8.095017,-34.896344,2024-12-11,Quarta,19:00,80,42,False,Instagram
EVT0027,Show Musical — Coletivo Urbano,Show Musical,Aflitos,-8.039049,-34.902607,2024-02-29,Quinta,20:00,100,49,True,Instagram
EVT0028,Festa Junina — Rock no Porto,Festa Junina,Torre,-8.063952,-34.902281,2024-08-20,Terça,22:00,15,410,False,Sympla
